team,name,position,height,weight,bday,years experience
GSW,De'Anthony Melton,PG,6-2,200,5/28/1998,7
GSW,Moses Moody,SG,6-5,211,5/31/2002,4
GSW,Gary Payton II,SG,6-2,195,12/1/1992,9
GSW,Brandin Podziemski,SG,6-4,205,2/25/2003,2
GSW,Kristaps Porziņģis,C,7-2,240,8/2/1995,9
GSW,Quinten Post,PF,7-0,238,3/21/2000,1
GSW,Will Richard,SG,6-3,206,12/24/2002,0
GSW,Gui Santos,PF,6-7,185,6/22/2002,2
GSW,Pat Spencer,PG,6-2,205,7/4/1996,2
GSW,Nate Williams,SG,6-5,205,2/12/1999,3
GSW,Omer Yurtseven,C,6-11,275,6/19/1998,3
HOU,Steven Adams,C,6-11,265,7/20/1993,11
HOU,Clint Capela,C,6-10,256,5/18/1994,11
HOU,Isaiah Crawford,SF,6-6,220,11/1/2001,1
HOU,JD Davison,PG,6-1,195,10/3/2002,3
HOU,Kevin Durant,SF,6-11,240,9/29/1988,17
HOU,Tari Eason,PF,6-8,215,5/10/2001,3
HOU,Dorian Finney-Smith,PF,6-7,220,5/4/1993,9
HOU,Jeff Green,PF,6-8,235,8/28/1986,17
HOU,Aaron Holiday,PG,6-0,185,9/30/1996,7
HOU,Tristen Newton,SG,6-5,190,4/26/2001,1
HOU,Josh Okogie,SG,6-4,213,9/1/1998,7
HOU,Alperen Şengün,C,6-11,243,7/25/2002,4
HOU,Reed Sheppard,SG,6-2,185,6/24/2004,1
HOU,Jabari Smith Jr.,PF,6-11,220,5/13/2003,3
HOU,Jae'Sean Tate,SF,6-4,230,10/28/1995,5
HOU,Amen Thompson,PG,6-7,200,1/30/2003,2
IND,Tony Bradley,C,6-10,248,1/8/1998,7
IND,Kobe Brown,PF,6-7,250,1/1/2000,2
IND,RayJ Dennis,PG,6-1,180,3/30/2001,1
IND,Johnny Furphy,SG,6-8,200,12/8/2004,1
IND,Jay Huff,C,7-1,240,8/25/1998,4
IND,Isaiah Jackson,C,6-8,205,1/10/2002,4
IND,Quenton Jackson,PG,6-4,173,9/15/1998,3
IND,Kam Jones,SG,6-4,200,2/25/2002,0
IND,Cody Martin,SF,6-6,205,9/28/1995,6
IND,Garrison Mathews,SG,6-5,215,10/24/1996,6
IND,Bennedict Mathurin,SF,6-5,210,6/19/2002,3
IND,Mac McClung,SG,6-2,185,1/6/1999,3
IND,T.J. McConnell,PG,6-1,190,3/25/1992,10
